Yvan Král,Zemědělec,Havraní 2;České Budějovice;592 87,+420 813 560 883,miki55@seznam.cz,http://www.kilak7731.cz
Stanislav Černý,Právník,Urbinská 7;Kladno;419 26,+420 745 765 405,Nomad51@seznam.cz,http://www.ScaniaSevHvez25.cz
Josef Kučera,Květinář,Lesní 514;Karlovy Vary;524 15,+420 725 337 614,peta80956@seznam.cz,http://www.Lukas63.cz
Vladimír Dvořák,Kuchař,U Trojice 295;Frýdek-Místek;798 68,+420 978 544 449,miki93@seznam.cz,http://www.Vajoja99.cz
Eduard Hájek,Soudce,Domoradice 577;Opava;870 14,+420 809 595 381,milkos12@seznam.cz,http://www.truckman4449.cz
Josef Beneš,Programátor,Pinskrův Dvůr 909;Jihlava;402 71,+420 597 380 259,VlkyScania63@seznam.cz,http://www.ludvo84.cz
Josef Horák,Student,Šumavská 324;Teplice;605 26,+420 977 414 756,Michal71@seznam.cz,http://www.trucker99917.cz
Gustav Růžička,Ekonom,Středová 135;Karlovy Vary;739 52,+420 554 336 803,ScaniaSevHvez21@seznam.cz,http://www.nemec80.cz
Adam Novák,Zednář,Na Moráni 862;České Budějovice;388 48,+420 644 365 795,miki8858@seznam.cz,http://www.Ondrapajas18.cz
Josef Fiala,Kuchař,Přídolská 489;Teplice;530 27,+420 443 985 516,Lumine66@seznam.cz,http://www.ScaniaSevHvez57.cz
Waldemar Sedláček,Programátor,Pod Horou 105;Pardubice;992 48,+420 896 636 748,scaniaman93@seznam.cz,http://www.miki14.cz
Adolf Svoboda,Květinář,U Peráků 708;Ústí nad Labem;820 26,+420 559 264 252,vojta35@seznam.cz,http://www.trucker99964.cz
David Horák,Student,Parkán 866;Pardubice;982 87,+420 891 879 508,rada52@seznam.cz,http://www.motr90.cz
Martin Hájek,Manažer,Objížďková 386;Most;817 26,+420 861 377 431,Johny28@seznam.cz,http://www.Smejo85.cz
David Doležal,Učitel,Družstevná 151;Praha;753 21,+420 885 644 997,miki8821@seznam.cz,http://www.Pavlos71.cz
Adolf Černý,Soudce,Lesní 671;Kladno;751 52,+420 799 612 798,Lukas58@seznam.cz,http://www.kilak7786.cz
Udo Moravec,Zemědělec,Pod Skalkou 250;Most;641 97,+420 796 527 622,stiv80@seznam.cz,http://www.Svejk29.cz
Xaver Kratochvíl,Zemědělec,Rožmberská 960;Plzeň;378 71,+420 654 177 327,nemec23@seznam.cz,http://www.trucker99945.cz
Tadeáš Veselý,Krejčí,Pod Hrází 860;Karviná;302 51,+420 686 999 942,McDrive77@seznam.cz,http://www.spena552.cz
Teodor Kučera,Ekonom,Pinskrův Dvůr 967;Jihlava;719 34,+420 599 373 425,TheUndertaker69@seznam.cz,http://www.rada64.cz
Čeněk Fiala,Ekonom,Pod Hrází 268;Frýdek-Místek;324 54,+420 316 910 541,Lybbor14@seznam.cz,http://www.Mcunas91.cz
Čeněk Horák,Učitel,Lesní 866;Ostrava;942 59,+420 464 542 872,stiv30@seznam.cz,http://www.Paya36.cz
Jakub Fiala,Kominík,Třešňová 274;Ústí nad Labem;679 57,+420 823 896 482,miki7@seznam.cz,http://www.Paya56.cz
Filip Sedláček,Ekonom,Tovární 770;Opava;341 73,+420 371 705 276,Lumine44@seznam.cz,http://www.Papu71.cz
Karel Pospíšil,Krejčí,Tavírna 305;Karviná;241 95,+420 292 965 849,scaniaman26@seznam.cz,http://www.Vajoja20.cz
Milan Kříž,Ekonom,Rooseveltova 10;Karviná;497 35,+420 438 768 956,peta80990@seznam.cz,http://www.nemec7.cz
Josef Procházka,Prodavač,Domoradická 37;Karlovy Vary;751 27,+420 785 943 240,rada57@seznam.cz,http://www.nemec49.cz
Zdeněk Kučera,Student,Přídolská 921;Hradec Králové;407 42,+420 684 745 194,rada29@seznam.cz,http://www.Johny99.cz
Oliver Růžička,Učitel,Třešňová 661;Liberec;711 44,+420 472 497 389,peta8094@seznam.cz,http://www.Vajoja98.cz
Xaver Fiala,Soudce,U Peráků 339;Ostrava;331 71,+420 542 916 458,rada51@seznam.cz,http://www.slowakia10060.cz
Xavier Svoboda,Soudce,Příkrá 913;Jihlava;910 63,+420 348 382 130,rada88@seznam.cz,http://www.kilak7750.cz
Petr Růžička,Učitel,Lipová 484;Havířov;284 76,+420 264 727 683,peta80930@seznam.cz,http://www.Lumine27.cz
Lukáš Doležal,Student,Tovární 335;Liberec;121 31,+420 838 369 593,truckman4489@seznam.cz,http://www.nim92.cz
Radek Horák,Prodavač,Po Vodě 373;Praha;152 62,+420 771 317 347,nemec82@seznam.cz,http://www.peta80955.cz
Tadeáš Pokorný,Soudce,Na Skalce 601;Zlín;671 66,+420 793 509 930,miki8831@seznam.cz,http://www.TheUndertaker75.cz
